customer_age,customer_tenure_months,payment_amount,previous_payment_success_rate,previous_failed_payments,days_since_last_payment,payment_method,failure_reason,subscription_age_months,customer_lifetime_value,previous_recovery_count,recovered
56,11,1505.74,0.49,1,10,upi,card_declined,22,12488.96,1,0
69,22,1557.84,0.53,5,86,card,insufficient_funds,22,2041.51,3,0
46,54,465.31,0.89,0,68,upi,network_error,30,20882.4,0,0
32,24,721.96,0.84,0,43,upi,network_error,7,2198.89,2,1
60,1,951.13,0.52,1,87,upi,card_declined,6,1150.94,0,0
25,18,1504.59,0.57,1,41,card,network_error,13,1892.62,1,0
38,44,3354.96,0.97,1,12,card,insufficient_funds,14,7898.76,2,1
56,12,620.64,0.45,1,8,wallet,network_error,2,4062.07,0,0
36,57,2028.51,0.73,0,45,upi,bank_error,42,8604.23,0,0
40,43,736.37,0.71,2,88,upi,card_declined,16,12857.02,1,0
28,28,2862.25,0.84,1,1,wallet,expired_card,39,2165.88,1,0
28,40,4182.4,0.56,3,26,card,network_error,46,7528.65,1,0
41,7,322.59,0.96,0,86,upi,insufficient_funds,33,1546.13,1,0
53,23,872.68,0.65,1,89,upi,insufficient_funds,1,2238.04,2,0
57,21,211.63,0.57,0,31,wallet,expired_card,30,7088.89,0,0
41,34,336.0,0.6,1,56,card,insufficient_funds,11,10414.96,1,0
20,11,350.98,0.61,0,37,card,bank_error,14,3406.71,0,1
39,22,1697.39,0.52,2,75,card,bank_error,37,6671.97,1,0
19,42,1489.04,0.96,2,4,card,card_declined,37,3577.78,2,1
41,35,1921.52,0.5,0,72,upi,card_declined,35,44683.53,0,1
61,52,1678.31,0.93,2,44,card,network_error,14,5320.36,2,0
47,29,1540.01,0.64,3,89,card,network_error,22,4856.98,1,1
55,42,1185.95,0.56,1,49,wallet,insufficient_funds,31,2292.59,0,0
19,28,1000.63,0.52,1,87,wallet,insufficient_funds,18,4430.69,3,0
38,59,2238.85,0.7,2,40,card,network_error,10,6348.86,0,0
50,18,1106.1,0.8,0,68,upi,bank_error,24,4041.63,1,0
29,14,1583.87,0.94,2,71,netbanking,insufficient_funds,24,3007.65,3,0
39,18,214.61,0.79,2,10,upi,expired_card,32,8092.06,0,0
61,28,481.76,0.69,2,70,card,bank_error,37,3321.47,2,0
42,24,2177.99,0.42,3,4,card,insufficient_funds,34,10269.18,3,1
66,8,686.84,0.95,0,21,card,card_declined,10,2966.99,0,1
44,42,412.92,0.94,0,42,upi,bank_error,46,2936.12,0,1
59,54,1717.98,0.63,2,84,card,card_declined,14,9299.09,2,0
45,45,1097.66,0.42,2,81,upi,insufficient_funds,23,8147.93,0,0
33,53,824.8,0.84,2,6,upi,expired_card,32,15519.27,2,1
32,8,3153.85,0.88,1,11,card,card_declined,47,2385.91,2,1
64,4,2796.72,0.73,2,82,card,expired_card,12,5309.08,0,0
68,27,961.52,0.64,0,73,card,insufficient_funds,41,10097.04,2,0
61,36,1818.31,0.91,0,12,netbanking,network_error,24,14062.57,1,0
69,5,228.81,0.52,1,31,netbanking,card_declined,34,10982.86,1,0
20,33,2357.49,0.66,1,31,card,bank_error,47,4583.87,1,0
54,49,512.55,0.41,1,43,card,network_error,20,7346.07,0,0
68,34,396.83,0.5,2,58,upi,network_error,29,1640.23,2,0
24,30,314.29,0.96,3,50,card,insufficient_funds,16,35538.3,0,0
38,8,297.74,0.75,2,80,upi,bank_error,40,6629.3,0,0
26,39,2336.08,0.88,4,41,upi,insufficient_funds,42,4339.55,1,0
56,47,1705.82,0.69,1,76,upi,insufficient_funds,9,9108.7,0,0
35,26,641.56,0.9,0,77,card,insufficient_funds,44,4841.06,1,1
